mtime,AB,AD,AG,AM,BJ,BR,CF,CK,CM,CV,CX,DE,EP,F,FI,FP,FR,GK,GR,HQ,HT,HV,IY,J,JQ,JS,KP,LT,LV,LY,MT,OT,QX,RY,SU
2021-11-01T01:30,5794376,7967123,7501063,6770263,7733555,7825423,8601604,8669185,7907761,8200380,10195587,7877419,9257669,5666795,7988309,6720568,8666069,8489812,5748319,6573148,6311627,8460291,8023413,7509565,6511104,6470543,8228889,5382493,7334151,7407961,6451851,8815456,5424884,7218987,7524578
2021-11-01T01:35,6870826,8719786,8370038,6515731,6990280,7645054,7469845,7626145,7439333,7385480,6157532,7610803,6239279,6613331,8997119,7523727,7980693,8123851,6207178,9090950,7619678,8382154,6544965,7481815,7754563,6873052,7195325,5960118,8294067,5580322,8521224,8459040,5227080,7866216,7468003
2021-11-01T01:40,7721876,6557894,5849503,6490738,6796613,7716345,7775535,7407344,7938124,7989216,9428376,7102589,7018993,6460797,6536949,6962857,9019117,6416597,7297730,7439075,7355080,8128578,7384341,7427027,7496149,7053877,6488248,8711310,10291947,6846564,8265905,7359590,5856659,6371406,7848214
2021-11-01T01:45,8243190,6330523,8193082,7679707,6775079,7066164,7710931,7062915,7975903,9316242,9737584,7679556,6377495,8296906,6285495,9209966,6918756,5542039,6263734,8981896,7490028,7905891,7548309,6490636,9465029,8620744,6585074,6961729,7219909,6710876,6724300,7335073,8500276,7759691,7627059
2021-11-01T01:50,7081695,6828370,7191106,7215925,7685311,6925693,6321788,6286184,8581442,7475836,7456098,6659985,8737290,5846581,6529905,6755843,5637467,6196503,7980167,8678449,6378146,6708488,9690945,8450454,4920629,7973620,8109725,6990217,6702805,6743341,7938811,6520954,7170181,7289921,6738555
2021-11-01T01:55,7421036,7811979,7735794,7560259,7635221,8909166,7362704,7376450,6870476,6679404,8047320,7586149,8121361,7744544,7070312,7448627,8878931,7234334,7624345,7880596,6524121,6852664,6385391,6057769,8180690,8026979,7532885,7578281,7120041,7506024,8023025,8763983,8053404,9328154,5369581
2021-11-01T02:00,5935062,8088083,9038419,5204152,6546628,7633782,7166490,6954445,7046094,6190547,6600175,6829561,6551784,6625153,8269708,7041876,5484779,6808067,6338915,5279484,8017045,6516492,7577021,7181370,6696018,7469415,7655285,7009501,8372020,7110235,6865019,8369904,6962045,6993244,6391456
2021-11-01T02:05,7939698,7907206,7958484,7345711,7353843,6089426,7675291,7154257,7041672,6989703,6806096,6847571,5732024,7944623,9870667,7970939,7771313,7792944,7488749,7097633,8077782,7154582,6448177,7067386,7820082,8258158,8079084,5477625,8004503,7460155,6149995,5549464,7869245,8405335,7946233
2021-11-01T02:10,7874976,7567955,8824323,5808976,6008782,6704815,5955869,6763059,6830098,7329797,6821501,6632285,9264620,7384233,7144218,8594915,5998626,8624337,7410901,7032734,6082625,7865780,6837498,8247052,7248755,8166893,7266341,7357251,5917930,8712681,6941099,4496967,7523350,7021614,8100373
2021-11-01T02:15,8544591,7953665,7158720,8504996,10659625,6420930,7626940,6981344,7272671,7457943,7520120,7985593,5523672,7174228,8763529,9319093,5557128,6182467,8246925,6529525,5931740,8365489,6159547,8693281,8016734,6120171,7396735,7679144,7157228,8285764,7594836,6727761,6163258,8099084,7998428
2021-11-01T02:20,8331048,6092926,7780853,7997560,6231799,6638614,9045318,7091193,8541261,7402329,7374491,7321343,7625046,5413056,8808350,6392067,6083683,9153843,5076104,6236245,7370731,7935899,6936238,10392609,6931189,6805252,7577729,6784036,8967812,5563887,9399610,7566901,7620787,6672452,6341044
2021-11-01T02:25,7849025,6691403,6233293,7505394,7492551,9146832,6885139,6611727,6027122,5163984,6359456,5232766,7627730,8862198,7943508,5299878,7822566,6469099,6096908,10123924,8381000,7780063,8086020,7101105,6473635,7393920,8047220,7649903,6850246,6364463,8612257,5966118,7591254,7726904,6732592
2021-11-01T02:30,7008648,9062698,6951954,8275397,5172074,8109132,7535578,8821775,6647708,7116065,8072910,8093602,8012295,5598758,6602233,7623808,8618368,7224480,7471647,6769947,8401472,7390675,6129690,7133717,4641788,5517964,5407194,8040707,7927300,9071016,8026588,6640327,7602918,7335631,7735901
2021-11-01T02:35,6754900,7283310,9119181,8384139,6809182,5877913,6302884,7883199,5934541,8287390,6842301,8116521,7340056,5971052,6720959,4681004,8880687,7750832,8491326,5386392,6435637,7182338,8165049,7736865,8120009,7494103,7621188,8662201,7871883,7674208,7168547,6710694,7606666,6861567,8684601
2021-11-01T02:40,7517529,5439100,7584744,8386116,8543161,7296988,6453974,7846891,8267692,6660921,6440578,8126078,6369254,8394601,7321432,5708474,6718401,7798438,9052498,5029963,9597243,8816504,7504600,8562817,5828234,6478675,6831222,6975170,5531849,6436080,7055281,6139544,8592905,8811373,9821651
2021-11-01T02:45,6572199,5780280,5001837,6262165,8279645,6055409,8385287,7667545,7970149,7529419,7964571,7859927,6923246,7390566,8014695,8665305,7441882,8384302,9220880,6756208,4445032,7400863,8009610,6843925,7584653,6982252,8790613,7748002,7347028,7445468,8027392,7522995,8048156,6424564,5752676
2021-11-01T02:50,8680221,8487924,9743047,6323591,6875306,6209214,6794568,8525035,6975429,8928357,6307369,5712517,8664715,6557319,6843657,7437098,7336074,7077478,6565939,7403059,8936002,7659449,8213759,7104589,7603111,6094874,8217738,7996147,7412915,6903484,7148270,8306334,7473690,6389968,7659653
2021-11-01T02:55,7820370,8576885,7914100,6866451,7173732,9339996,5475849,7345545,5937420,7373333,7535310,5840011,6700316,7257778,6918558,7807101,7681233,6100008,6100670,9503415,6357774,7291276,6658258,8213251,6396944,5668042,5850251,5549185,6530661,7414175,7025190,5816705,5598158,6405718,7532916
2021-11-01T03:00,6939894,8892808,5893242,7912080,7094004,9398143,6536896,7252391,8447401,7090318,9756118,6673429,7173609,6538284,7790808,6443010,8270757,6586071,7890783,7241610,6197856,7933532,5494210,6412509,6659892,7227432,8180943,6613531,7337583,7330957,7449187,8655246,4669611,8261604,7570167
2021-11-01T03:05,7479275,7429441,7351232,8365165,7552720,6445592,6966065,6118257,6122025,7987853,7553555,7538043,7651685,6555637,6344334,6133831,6874804,6454512,8129826,5993460,7752111,7746554,7578969,6725999,5843199,8841574,7416328,6022544,9291889,8829862,5885461,7775060,5288812,7166980,7579797
2021-11-01T03:10,7088422,6396252,4759677,9419467,7041683,6868671,8303622,7529731,8377194,6517422,7557556,5769760,10023157,7841204,7326919,6538014,7436979,5976288,6460672,7586482,7156149,7293005,7750636,6863673,8094037,5977990,7628416,8367545,6502707,8286808,8310961,7634410,7029469,5937505,9071858
2021-11-01T03:15,8462086,5790542,7660908,8466507,7122109,6145950,7632005,8255713,5920199,8153255,7587327,7880008,7450402,6626633,7078581,7535518,7670851,9203899,8113373,8236437,7405706,7700708,7398377,9556740,5466250,8439970,7140219,7267213,8369189,8092139,4993593,8575792,6014810,6485421,7452580
2021-11-01T03:20,6034004,8982159,7452782,6570717,7741882,5708939,7489960,6763495,8251625,7746766,7966336,6562009,6270850,8082205,6169075,7555425,6577470,8103126,7800183,7839707,6712093,7798931,7793109,6428869,8103183,7340419,6105841,8852489,8244242,5978039,8989280,6388088,6839753,7208061,6686494
2021-11-01T03:25,7890755,7328702,7473658,6686522,6279568,9188820,6860600,7956266,7328247,7216159,8219594,7647503,8188799,6393503,5815751,7450533,6707651,7194419,6680091,7586065,8120686,7705561,8032790,7391230,5652230,5736433,7145079,7165725,7447894,7109806,7512654,7413196,5264418,6227789,8447475
2021-11-01T03:30,6255425,7030763,9661503,10149208,6604483,7173078,7192543,6806391,8927231,9337834,7705016,8054196,6982015,5381345,6355972,7333308,5839019,7438843,7723109,6699050,8287629,8367518,9686301,6345752,5757517,8029367,7580938,9297508,9174597,8189106,7796056,6251426,7423814,8465753,8046206
2021-11-01T03:35,5507749,7867413,6994056,6105853,7305842,8095763,8215587,8714362,5381370,7230570,8556243,7622443,6880016,6867196,8562032,6138970,5792639,7684241,9387045,8073125,6316863,7645016,5848623,9843067,8337478,7231009,8785808,5761642,7237457,6585438,6801568,7979873,8270773,6236124,7415104
2021-11-01T03:40,6486521,7520249,8464430,7938829,6217623,7301946,9088676,7470502,7180356,6499522,7080315,9346103,7383379,6331480,7888682,6360338,7823320,7706323,7984146,8763151,7135905,6811912,7020956,5695732,9695601,7038391,6267675,7186696,7883552,6539190,4862185,6861421,6011554,8852379,6624390
2021-11-01T03:45,7890938,8119055,8679996,7896483,7294751,6429935,5748341,7245108,8551269,6348319,6970906,6632990,6936162,8973848,8443013,10029964,8201871,7339563,6842098,8109835,5747853,6629908,7608662,7363044,6729045,7732986,8107998,8008183,7590038,6917781,9172956,5179757,8099583,6977570,8555241
2021-11-01T03:50,9352162,7650878,7171708,6343981,7044575,9141374,7741895,8268199,6540846,7935597,6238500,9096888,4987646,6224644,7041115,7533749,8140053,6665019,4546160,6907765,8412826,6107356,6214713,6646942,6375948,7208271,9348045,9348626,9634977,9014436,7681581,5577089,6139841,8251500,7547503
2021-11-01T03:55,7659482,8823650,7636518,7868263,7076179,7968197,6835412,7086876,8048162,6430397,7179333,8098424,6700538,7945776,7680426,5397338,6369290,8292562,8565084,6120997,6721078,7729987,5258371,8390368,6678899,7314443,7014408,6876072,8101343,6268662,7466149,9602565,9026057,8199176,6832517
2021-11-01T04:00,7043362,5396012,8130407,7813394,6532863,6714321,4988074,6692319,7008712,8176267,9089001,6482881,6936938,6114783,7880683,9735485,7850447,7094980,8298686,6911731,7794857,7185843,7941430,5184770,5678243,8848500,5859512,7450524,6656171,8243385,8084455,5319192,7377241,6452296,7198743
2021-11-01T04:05,9377564,8873738,5730614,6677477,7697417,7525680,8767706,6034279,6277993,7412473,6209550,6534175,6648726,8118437,6731309,7485617,7945804,6604254,7889227,7709956,8560507,8265237,6902847,7913132,7962043,7949352,7595099,7530399,6576767,8029312,7107117,8288742,6866106,7119177,8782472
2021-11-01T04:10,6660590,6191331,8283121,6018336,9453328,8045431,6497372,9126242,7451110,8487550,7208175,6787137,11628827,9956562,8790057,10556879,6704815,7514966,6424488,8621047,6086105,8551699,6175180,7324937,6668822,5775944,6866218,7106649,8125588,7725936,8478426,8649451,7888199,6623928,7141054
2021-11-01T04:15,7145938,6862189,7994843,8757356,6902885,8162529,7616472,8921201,5440338,6879752,7547221,6502936,5865856,7809988,7696819,9676170,6819336,6958443,7540300,8334730,7809994,6630412,8144837,7495919,8528593,7337923,7976189,9054667,6524104,7489093,8622379,7383184,7297339,8688364,6533012
2021-11-01T04:20,7150390,7406604,9260509,8087364,9042779,8697394,7101505,6573411,8030464,8833408,7208147,6059026,6709179,5696115,6443336,7463654,8353049,9796855,9198888,7496365,8421004,6964460,7938995,8619002,8842826,6385072,6197028,4679383,6997073,9145389,7836153,6802925,5610367,8457818,6353805
2021-11-01T04:25,8241243,8485718,7905552,8230307,6263746,7785081,6596698,5490087,8170084,9151598,9850487,6609862,7764429,6917232,7393094,6263310,8238575,8620967,7981614,5694166,7259728,7602785,7166899,7794164,7885157,5623744,6730806,9393875,7976311,7680422,7605698,8204437,5150710,7188141,7100677
2021-11-01T04:30,7618655,6422974,6477189,7902746,6984106,7994255,7230628,8589433,6670198,6315327,7320844,6729828,8560767,8295269,5807121,6861070,7303194,10042157,6790200,7174684,7574158,6288323,5853696,6699107,7998766,7620438,7088806,7310510,7656685,6537450,8921043,7646221,6407332,6279207,6046700
2021-11-01T04:35,7741967,7284946,9043010,6558477,7465868,7206422,5484543,7684155,5758624,6894108,6412056,6502045,7494074,6919695,7490486,6859264,8227499,8907180,8825757,7623749,7069727,8018403,5288052,7184218,8911332,9300615,7926306,8744345,5176398,6808590,10897383,7307566,5550177,7569314,6002973
2021-11-01T04:40,5973636,5923398,7133412,6662983,6253339,6815596,9151761,6007029,7292016,8711496,6853247,7128701,8106523,5311330,8044417,8813560,6719288,5896735,9170334,8893893,8385059,7785418,8811984,7818125,5834448,7401941,7656414,7569900,6095084,7500377,8734916,7662482,5072213,5747039,7482280
2021-11-01T04:45,8159548,6977579,7939153,6446849,7938444,7466526,8616410,9155248,8419421,7688681,8423131,6209712,8158048,7619999,5323475,7996818,8457620,7299480,7344151,9492350,7006844,8061995,7687496,7886492,6479633,6517790,7698805,6952109,9191653,9812730,6249562,6685518,6766090,6827302,7504065
2021-11-01T04:50,7278419,7843054,6873870,5304479,6906201,5676478,8551453,8844222,7049702,7380896,5826637,8167280,9559343,9189101,9947195,7061702,7569338,7425709,8174220,7071647,6387214,6105269,6893830,6892106,6346044,6242660,6294824,8068505,7875220,7421401,7743808,6341561,6129739,7469095,7285292
2021-11-01T04:55,6198944,6959196,7437103,5680998,7511819,7442647,7844796,9379486,8993961,7763201,5869966,7175995,7114293,7043290,6291105,8179046,5170877,8350219,7738731,8355386,7347604,6480663,6622113,7143834,9231326,7006102,7348954,8220542,5748551,5170758,5650859,5685015,8819824,8629820,7206418
2021-11-01T05:00,7127552,7469282,7076186,8536988,7814971,6823465,6981170,6815672,8611559,6771946,7499415,7568268,6708382,7771129,8775404,7212900,7551231,7844605,7836151,8005901,5770433,8622740,6352727,7779613,6271800,8051672,7146981,5739284,7502581,6656486,6682788,7136023,6785662,7737626,6437824
2021-11-01T05:05,5754272,4773368,7061166,4783766,8490293,7621641,8004479,7312405,8807718,9095499,7793198,10181465,9432279,6289889,6359179,8693968,9187443,7154029,7251743,7414764,6388926,6665116,10236688,9345298,6021547,7149370,8887678,7546799,5440712,6702604,7690743,9562237,4666372,6580980,7062897
2021-11-01T05:10,8815643,7381668,9234439,8649988,8054694,7939756,7429505,6605244,7168071,8000987,8773798,7456564,7406328,8035450,6231948,8488602,7281554,7770806,7115964,8563721,7238202,6004065,5584559,6509772,7445335,6336649,7315251,7464522,7344708,8333169,7572827,9829703,5557000,5369815,7872088
2021-11-01T05:15,6812662,6916662,5840142,7252069,5864958,8066440,9200599,8822567,6897152,7512021,6511995,7404841,9077861,5897091,9706564,4850198,6714053,6572954,6210913,7364059,6392760,8328704,7768030,7019837,7598828,7716467,7422975,9730901,5427201,7150595,7547956,6991963,7024166,7959498,6972543
2021-11-01T05:20,7074420,7008746,7329546,7069912,7287648,7833744,5678197,7737693,6978267,7348797,7605885,7160814,7441083,6905436,7692824,8785669,6967169,9113018,7145777,6347007,6362788,7597153,7032551,8971524,6030202,8454134,5830339,6874611,6730907,7585566,8208537,6052910,7946379,7767603,6830404
2021-11-01T05:25,6728281,6813874,6664919,6690229,5397612,5897887,6956795,7433963,7518634,8074383,7806982,8319021,6947610,7758525,6268673,8471001,5123200,7429286,8886694,7325337,8204884,6916042,5604103,6222268,7337569,9181366,5307668,7535732,6200745,6880411,6862885,5947965,7828587,6970993,9103384
2021-11-01T05:30,8370408,6322025,7501024,5976985,7355910,7848749,6415205,8529731,6500918,8056080,9176231,7377439,7801553,8659091,8193813,7937340,6643105,8974732,8613039,8213965,7358747,8093171,8084671,7035616,7693438,7187737,7429059,9722414,8023265,8297859,5587121,6922914,5821680,7553545,8137030
2021-11-01T05:35,8423804,5589229,5811906,7091384,7024307,8146875,6873202,6909697,7428976,5857247,5547770,7800923,6878665,9376678,7132780,6994078,7283723,6920162,5999079,8311553,7283529,8457057,5807402,9522342,7861075,6075874,7727903,5884217,8477714,7229282,8470842,10578465,7072755,6157902,5226365
2021-11-01T05:40,7304564,8882137,7624641,8049933,9479091,7162723,7998124,6608551,6304985,8752465,7989839,6872955,7424295,6587834,8548410,7848857,8058082,6260216,8080587,6987453,7511257,6079686,6693612,7916651,6386928,6872345,7712707,8629160,6126658,6363005,8475789,5707920,6910663,5444180,7907628
2021-11-01T05:45,8399402,8057575,7944315,9460847,6661288,9150546,7686749,7470163,9383524,8647312,6426785,8647849,8430475,6260064,7597766,6924981,7885884,7774575,7506592,7940522,6663613,8207304,7776952,9964044,8058593,8031998,7599987,4979495,7996004,5994736,7224107,7782477,8123729,6803809,7127831
2021-11-01T05:50,5776841,8325712,7468013,6954848,6858343,6950409,7230666,7016177,7665035,6538201,8841892,8316008,7478774,6705502,7076559,7960654,7197623,5346205,6093183,8214431,7526074,7237544,6309192,7209318,7975790,6870206,6401251,6842383,6947427,6849145,5946192,9232370,7025060,9595208,7165418
2021-11-01T05:55,10086994,9127137,6972970,7245238,7520624,10142662,5943562,8052225,6538032,7741749,8336689,6799390,8297019,6590472,6083539,5411769,6415031,6751722,7959868,10246116,6406864,6505964,5470605,8936498,8247646,7714061,7477446,6262337,7336953,6927262,6264119,5865013,7850813,7241313,7573993
2021-11-01T06:00,8684711,7306053,6643597,5755753,7638455,8555422,7773682,7189898,6647688,6659415,8383960,7285794,6560893,7383367,7050995,7149513,7064179,6181930,7197649,6060436,6939511,7189685,6767528,6384726,3660137,6096871,7682460,6394003,6586096,5773614,7428159,7130522,8157095,7371397,5922129
2021-11-01T06:05,7546489,7881783,5144829,6454416,9248413,5776474,7569173,7748617,6783919,7307747,8359852,7569351,6930029,7365731,6901164,5909026,8311996,8783735,9802233,7173770,6857141,6637377,7943534,7947214,6567825,7206683,7961979,8797503,5618466,7262215,6735752,6832607,6901122,7253601,6854450
2021-11-01T06:10,6838806,7896529,9430635,8330778,4846356,8397758,9178027,6645278,6545888,7204843,7028324,7065000,7489922,6532678,6841534,5841809,7587672,5730555,7484509,7031333,6644265,7060351,8110652,7598036,8222628,7906524,7130166,5076465,6134526,7505443,7403373,8066816,6316730,6395816,6704419
2021-11-01T06:15,6078296,7887720,6929211,7530874,9594415,6135275,8309992,9272517,6917129,8358635,6874381,6225951,7287572,6979988,8261739,7242023,6792829,5692208,5930474,8965522,6454667,6304651,8343879,7712296,6172992,7257700,9453274,6520549,6854547,8074294,7271230,5781965,6000749,6375719,7439106
2021-11-01T06:20,6056103,6238592,4957623,8121766,7192628,8932998,7948744,7150136,8338720,7865596,9075234,6197917,7334465,6642064,7655420,5495728,6624986,8362549,6552891,7847526,6959671,7281378,8026176,7226579,7676236,6702838,6317474,6905411,8863627,7426996,6603909,5494904,10360676,7142534,7295872
2021-11-01T06:25,8463071,8903168,8167808,7060091,5795038,7342893,7369593,6419786,6402523,8668213,6766755,7347158,5640822,9251936,6442522,6757564,6601128,8835866,5967596,7340032,8148195,6958632,9426802,8171346,8579972,6095047,6485326,7481547,7532511,6255166,8531533,6621759,6965012,6830357,7756148
2021-11-01T06:30,9820927,6788001,9297493,7572668,8442336,7445224,8003816,7490195,5738878,6609539,5704973,7633665,7076140,9209560,5846100,6579720,6416175,7591722,7406718,7111796,7552941,4781061,7896162,7631482,6854813,8280085,8187442,7491498,9009444,6585958,8625594,7365584,6358971,9834724,9551838
2021-11-01T06:35,9675053,6215189,7443328,8385160,5065028,6114090,6511328,8720077,7103772,7136601,5433420,8570232,8310748,7000940,6724729,7053966,6448755,8398227,7976313,8203956,9857356,7173457,6760846,8473945,6862127,7753573,6919295,6671991,9289359,8225122,6906839,7393937,7335693,5697280,9220514
2021-11-01T06:40,9556982,6506893,6647319,5500977,7396355,6068873,10900484,9359697,5763007,7940746,7379556,6354021,6539644,7511038,6658558,8449365,5040892,7658217,7600662,8840188,8529135,7846703,8090628,6310609,7495302,6144237,6596265,7392777,6775174,6218773,8475231,7625617,8847211,8015569,6374769
2021-11-01T06:45,8146168,7776056,8554262,7280987,7093115,6486223,7032708,6959621,8319034,6420984,9573510,8392813,8624216,6714245,8405233,7457053,8792374,4609111,7920055,7212672,7915511,6487437,7219616,7951825,8167306,7610875,7328365,7641574,9011216,6996020,5580685,7885347,9166112,7781232,8636787
2021-11-01T06:50,8292368,7153913,8634066,9113563,8571868,7707533,7920770,7663243,6380202,10004836,5494555,6429710,8422891,7931931,7503048,7660642,5700155,6994916,5918097,7790376,6798026,7988951,7992258,7052890,7748923,8532354,9279084,9107993,8545970,6526771,6846272,6949060,6316466,6478761,7661753
2021-11-01T06:55,6312221,6860726,6754165,6581442,7221156,7553671,7971373,8514391,6443134,8453041,7204526,5681366,6716124,7000086,7822214,6765172,9430845,6008201,7490448,11379681,9890632,6999234,6260924,7416407,7480238,8695710,8424429,6150360,7827113,7123104,6901826,6381694,7442364,8376199,7689640
2021-11-01T07:00,7891290,8816765,5733216,8104517,6123661,6825550,6964965,8075182,7161519,6920958,8537007,9200326,7440607,6686986,8142769,6537399,6600121,9261770,9110996,8038911,7433761,8655794,5551305,6471274,7239323,8484792,7471154,6473605,7870142,6477115,8394898,6130426,10547607,7425600,6370059
2021-11-01T07:05,7669617,6061246,7617212,7121796,8541652,5827062,8202939,8561150,7345076,6105569,7329875,7505871,6598134,7529271,7373098,7735115,8882771,8364416,7479152,5981833,8573761,8055334,8313463,11022910,9110629,6130849,7059813,7472627,7009373,8260090,7625257,7671135,8521622,7516434,7721761
2021-11-01T07:10,7095285,7126876,10075974,6330602,7260848,7533460,9025255,5811586,5634218,7625032,5904663,8755645,6927469,7492496,6415358,7111786,7256284,7926439,9318968,6206642,5731074,5921045,7010133,5316455,7358451,6240351,7883794,6851350,8266918,8117801,7880599,9374522,7911120,7850667,7303179
2021-11-01T07:15,5475811,9211025,8389685,6243114,7923205,7590656,7014713,7708352,7679110,5847512,7415249,7641032,5313334,8138129,7635747,6905673,8458345,7685128,5838207,7232921,9118166,7462264,8519238,6428852,8410276,6776292,5935298,7916853,6642224,8041771,6421735,7728460,7092241,6471468,7042180
2021-11-01T07:20,7694515,5059830,5853220,6844332,5989131,5472992,7253508,6312981,6795834,6987401,7920771,6326687,5879064,6169020,6515595,8040119,5773797,6540895,8026167,9531036,6005973,6488924,7704103,9123000,7281058,7640465,7752400,7288175,7651514,8037481,6893284,7341387,8068837,6536251,8032763
2021-11-01T07:25,9081932,8906760,8091048,7463199,7016713,8453814,7378056,7313239,6862000,8728185,5868544,8955229,8018262,7879902,7393203,8208805,6829134,6446996,7122519,9371737,8095603,7371084,5657852,7261580,7406516,6375556,6356668,9172136,7599151,8345783,6030157,5789924,6783551,6417977,10039317
2021-11-01T07:30,6886620,11301221,7627447,7411164,7649570,5776025,10033283,7455540,6004026,8849008,7321774,7326134,6704564,6574130,5711081,6855659,9393746,7357712,7886844,5385083,9247391,7994159,6478035,6643837,6920729,5944247,5742254,5422067,7420441,7224513,6616512,6360204,4511063,7155633,8364216
